Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-02-09 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2009-02-10 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2009-02-11 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2009-02-12 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2009-02-13 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2009-02-17 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2009-02-18 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2009-02-19 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2009-02-20 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2009-02-23 00:00:00-05:00,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,0,0.0,0.0
2009-02-24 00:00:00-05:00,10.399999618530273,60.0,10.399999618530273,44.0,318,0.0,0.0
2009-02-25 00:00:00-05:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-02-26 00:00:00-05:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-02-27 00:00:00-05:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-02 00:00:00-05:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-03 00:00:00-05:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-04 00:00:00-05:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-05 00:00:00-05:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-06 00:00:00-05:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-09 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-10 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,10.0
2009-03-11 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-12 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-13 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-16 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-17 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-18 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-19 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-20 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-23 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-24 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-25 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-26 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-27 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-30 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-03-31 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-01 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-02 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-03 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-06 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-07 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-08 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-09 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-13 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-14 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-15 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-16 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-17 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-20 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-21 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-22 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-23 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-24 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-27 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-28 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-29 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-04-30 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-05-01 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-05-04 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-05-05 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-05-06 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-05-07 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-05-08 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-05-11 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-05-12 00:00:00-04:00,44.0,44.0,44.0,44.0,0,0.0,0.0
2009-05-13 00:00:00-04:00,104.0,104.0,104.0,104.0,0,0.0,0.0
2009-05-14 00:00:00-04:00,104.0,104.0,104.0,104.0,0,0.0,0.0
2009-05-15 00:00:00-04:00,104.0,104.0,104.0,104.0,0,0.0,0.0
2009-05-18 00:00:00-04:00,104.0,104.0,104.0,104.0,0,0.0,0.0
2009-05-19 00:00:00-04:00,104.0,104.0,104.0,104.0,0,0.0,0.0
