Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-03-01 00:00:00-05:00,13967.4833984375,13967.4833984375,12858.953125,12858.953125,12,0.0,0.0
1999-03-02 00:00:00-05:00,13080.6591796875,13080.6591796875,11972.1279296875,11972.1279296875,14,0.0,0.0
1999-03-03 00:00:00-05:00,12415.541015625,12415.541015625,11307.009765625,11972.1279296875,10,0.0,0.0
1999-03-04 00:00:00-05:00,11750.421875,13524.0712890625,11750.421875,13080.6591796875,23,0.0,0.0
1999-03-05 00:00:00-05:00,13080.6591796875,13080.6591796875,12193.833984375,12193.833984375,6,0.0,0.0
1999-03-08 00:00:00-05:00,12415.541015625,12858.953125,11528.7158203125,11528.7158203125,11,0.0,0.0
1999-03-09 00:00:00-05:00,12415.541015625,12415.541015625,11528.7158203125,11528.7158203125,4,0.0,0.0
1999-03-10 00:00:00-05:00,11972.1279296875,11972.1279296875,11528.7158203125,11972.1279296875,2,0.0,0.0
1999-03-11 00:00:00-05:00,11972.1279296875,13080.6591796875,11750.421875,13080.6591796875,8,0.0,0.0
1999-03-12 00:00:00-05:00,13745.77734375,13745.77734375,12415.541015625,13745.77734375,2,0.0,0.0
1999-03-15 00:00:00-05:00,13745.77734375,13745.77734375,12415.541015625,12858.953125,5,0.0,0.0
1999-03-16 00:00:00-05:00,12858.953125,13302.365234375,12637.2470703125,12858.953125,4,0.0,0.0
1999-03-17 00:00:00-05:00,13080.6591796875,13080.6591796875,12415.541015625,12415.541015625,3,0.0,0.0
1999-03-18 00:00:00-05:00,11972.1279296875,12858.953125,11750.421875,11972.1279296875,8,0.0,0.0
1999-03-19 00:00:00-05:00,11972.1279296875,11972.1279296875,10863.59765625,11972.1279296875,12,0.0,0.0
1999-03-22 00:00:00-05:00,11307.009765625,11972.1279296875,10641.8916015625,11972.1279296875,6,0.0,0.0
1999-03-23 00:00:00-05:00,11972.1279296875,11972.1279296875,10863.59765625,11972.1279296875,4,0.0,0.0
1999-03-24 00:00:00-05:00,11085.3037109375,11972.1279296875,11085.3037109375,11528.7158203125,9,0.0,0.0
1999-03-25 00:00:00-05:00,11085.3037109375,11750.421875,10863.59765625,11307.009765625,8,0.0,0.0
1999-03-26 00:00:00-05:00,11972.1279296875,13302.365234375,11528.7158203125,11528.7158203125,41,0.0,0.0
