Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-01-27 00:00:00-05:00,59.8125,70.125,56.375,56.375,22109,0.0,0.0
1998-01-28 00:00:00-05:00,56.375,61.875,55.0,56.375,9618,0.0,0.0
1998-01-29 00:00:00-05:00,57.75,59.125,55.0,56.375,12655,0.0,0.0
1998-01-30 00:00:00-05:00,53.625,56.375,53.625,55.0,7736,0.0,0.0
1998-02-02 00:00:00-05:00,57.75,57.75,49.5,49.5,12873,0.0,0.0
1998-02-03 00:00:00-05:00,52.25,52.25,41.25,44.6875,12773,0.0,0.0
1998-02-04 00:00:00-05:00,41.25,44.6875,41.25,41.9375,7500,0.0,0.0
1998-02-05 00:00:00-05:00,44.0,44.6875,41.9375,44.0,9773,0.0,0.0
1998-02-06 00:00:00-05:00,44.6875,50.875,44.0,44.0,4736,0.0,0.0
1998-02-09 00:00:00-05:00,48.125,48.125,44.0,44.0,1873,0.0,0.0
1998-02-10 00:00:00-05:00,44.0,44.0,41.9375,44.0,6355,0.0,0.0
1998-02-11 00:00:00-05:00,43.65625,44.0,41.9375,41.9375,11391,0.0,0.0
1998-02-12 00:00:00-05:00,42.625,42.625,39.875,39.875,6900,0.0,0.0
1998-02-13 00:00:00-05:00,39.875,41.9375,35.75,38.5,2882,0.0,0.0
1998-02-17 00:00:00-05:00,35.75,38.5,28.875,30.25,9836,0.0,0.0
1998-02-18 00:00:00-05:00,31.625,31.625,27.84375,27.84375,2782,0.0,0.0
1998-02-19 00:00:00-05:00,27.84375,27.84375,23.375,24.75,5773,0.0,0.0
1998-02-20 00:00:00-05:00,24.40625,25.4375,23.375,25.4375,4136,0.0,0.0
1998-02-23 00:00:00-05:00,24.75,25.4375,22.0,23.375,5055,0.0,0.0
1998-02-24 00:00:00-05:00,22.0,24.75,22.0,22.34375,4045,0.0,0.0
1998-02-25 00:00:00-05:00,22.34375,23.375,22.0,23.03125,1036,0.0,0.0
1998-02-26 00:00:00-05:00,22.34375,23.375,22.0,22.0,2864,0.0,0.0
1998-02-27 00:00:00-05:00,23.375,23.375,22.0,22.0,327,0.0,0.0
1998-03-02 00:00:00-05:00,23.375,24.75,22.34375,24.75,5464,0.0,0.0
1998-03-03 00:00:00-05:00,24.75,24.75,23.375,24.0625,2809,0.0,0.0
1998-03-04 00:00:00-05:00,23.375,24.40625,22.34375,22.34375,991,0.0,0.0
1998-03-05 00:00:00-05:00,24.75,24.75,22.34375,22.34375,3745,0.0,0.0
1998-03-06 00:00:00-05:00,22.34375,22.6875,21.65625,21.65625,4818,0.0,0.0
1998-03-09 00:00:00-05:00,22.6875,22.6875,18.21875,18.21875,3064,0.0,0.0
1998-03-10 00:00:00-05:00,18.21875,19.25,17.875,17.875,2109,0.0,0.0
1998-03-11 00:00:00-05:00,17.875,19.25,16.84375,19.25,3000,0.0,0.0
1998-03-12 00:00:00-05:00,17.1875,19.25,15.8125,16.5,6236,0.0,0.0
1998-03-13 00:00:00-05:00,16.5,22.0,16.5,21.65625,7691,0.0,0.0
1998-03-16 00:00:00-05:00,22.0,23.03125,19.9375,19.9375,5355,0.0,0.0
1998-03-17 00:00:00-05:00,21.3125,22.6875,19.25,19.25,3845,0.0,0.0
1998-03-18 00:00:00-05:00,19.25,19.9375,16.84375,17.1875,2427,0.0,0.0
1998-03-19 00:00:00-05:00,22.0,24.75,18.21875,21.65625,10400,0.0,0.0
1998-03-20 00:00:00-05:00,20.625,22.0,19.25,19.59375,5000,0.0,0.0
1998-03-23 00:00:00-05:00,22.0,22.0,16.84375,17.1875,7364,0.0,0.0
1998-03-24 00:00:00-05:00,20.625,20.625,18.5625,19.25,3773,0.0,0.0
1998-03-25 00:00:00-05:00,20.625,20.625,17.1875,20.625,3900,0.0,0.0
1998-03-26 00:00:00-05:00,17.53125,18.90625,17.1875,17.53125,6500,0.0,0.0
1998-03-27 00:00:00-05:00,17.875,18.90625,17.1875,17.1875,2373,0.0,0.0
1998-03-30 00:00:00-05:00,19.25,19.25,15.46875,15.8125,5236,0.0,0.0
1998-03-31 00:00:00-05:00,15.8125,17.875,15.8125,15.8125,482,0.0,0.0
1998-04-01 00:00:00-05:00,15.8125,17.1875,14.4375,14.609375,5473,0.0,0.0
1998-04-02 00:00:00-05:00,14.4375,16.15625,13.75,14.4375,4100,0.0,0.0
1998-04-03 00:00:00-05:00,13.75,15.125,13.75,14.09375,2291,0.0,0.0
1998-04-06 00:00:00-04:00,16.15625,16.15625,14.4375,14.4375,4291,0.0,0.0
1998-04-07 00:00:00-04:00,16.15625,16.15625,14.4375,14.4375,3900,0.0,0.0
1998-04-08 00:00:00-04:00,14.09375,14.78125,14.09375,14.78125,1473,0.0,0.0
1998-04-09 00:00:00-04:00,14.09375,15.46875,14.09375,14.4375,2536,0.0,0.0
1998-04-13 00:00:00-04:00,15.8125,16.5,15.8125,15.8125,4491,0.0,0.0
1998-04-14 00:00:00-04:00,16.5,16.5,15.125,15.46875,8436,0.0,0.0
1998-04-15 00:00:00-04:00,15.8125,16.5,15.46875,15.8125,2418,0.0,0.0
1998-04-16 00:00:00-04:00,16.84375,16.84375,15.8125,16.5,2291,0.0,0.0
1998-04-17 00:00:00-04:00,16.5,16.84375,15.8125,15.8125,3245,0.0,0.0
1998-04-20 00:00:00-04:00,15.125,16.5,15.125,15.125,1682,0.0,0.0
1998-04-21 00:00:00-04:00,15.8125,16.5,15.125,15.46875,3855,0.0,0.0
1998-04-22 00:00:00-04:00,16.15625,16.15625,15.46875,15.8125,1918,0.0,0.0
1998-04-23 00:00:00-04:00,15.8125,15.8125,15.125,15.125,909,0.0,0.0
1998-04-24 00:00:00-04:00,16.5,16.5,14.4375,14.4375,1809,0.0,0.0
1998-04-27 00:00:00-04:00,16.15625,16.15625,14.4375,14.4375,1455,0.0,0.0
1998-04-28 00:00:00-04:00,14.4375,15.125,14.4375,15.125,745,0.0,0.0
1998-04-29 00:00:00-04:00,15.125,15.125,13.0625,13.40625,3282,0.0,0.0
1998-04-30 00:00:00-04:00,14.4375,14.4375,13.75,13.75,2073,0.0,0.0
1998-05-01 00:00:00-04:00,14.4375,14.4375,12.375,14.4375,2227,0.0,0.0
1998-05-04 00:00:00-04:00,13.40625,14.09375,13.40625,13.40625,591,0.0,0.0
1998-05-05 00:00:00-04:00,14.09375,14.09375,13.40625,13.40625,845,0.0,0.0
1998-05-06 00:00:00-04:00,13.40625,13.40625,13.40625,13.40625,1827,0.0,0.0
1998-05-07 00:00:00-04:00,13.75,13.75,13.40625,13.40625,809,0.0,0.0
1998-05-08 00:00:00-04:00,13.75,14.09375,13.40625,14.09375,1155,0.0,0.0
1998-05-11 00:00:00-04:00,13.75,14.4375,13.75,13.75,736,0.0,0.0
