Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-12-21 00:00:00-05:00,5.099999904632568,10.100000381469727,5.099999904632568,9.899999618530273,189800,0.0,0.0
2010-12-22 00:00:00-05:00,6.25,13.989999771118164,6.25,12.5,71400,0.0,0.0
2010-12-23 00:00:00-05:00,12.600000381469727,12.899999618530273,10.0,12.25,48900,0.0,0.0
2010-12-27 00:00:00-05:00,10.5,12.25,10.5,11.0,4300,0.0,0.0
2010-12-28 00:00:00-05:00,11.0,12.0,11.0,11.75,18100,0.0,0.0
2010-12-29 00:00:00-05:00,12.0,12.0,11.0,11.300000190734863,14500,0.0,0.0
2010-12-30 00:00:00-05:00,11.350000381469727,11.449999809265137,10.5,10.75,44400,0.0,0.0
2010-12-31 00:00:00-05:00,10.5,11.0,10.5,10.5,35800,0.0,0.0
2011-01-03 00:00:00-05:00,10.5,11.0,9.5,10.0,56000,0.0,0.0
2011-01-04 00:00:00-05:00,10.0,10.0,9.0,9.0,56300,0.0,0.0
2011-01-05 00:00:00-05:00,9.100000381469727,9.25,8.75,8.75,48000,0.0,0.0
2011-01-06 00:00:00-05:00,8.0,8.5,7.5,7.5,42400,0.0,0.0
2011-01-07 00:00:00-05:00,7.5,8.489999771118164,7.5,7.949999809265137,31600,0.0,0.0
2011-01-10 00:00:00-05:00,9.0,9.0,7.510000228881836,7.900000095367432,33400,0.0,0.0
2011-01-11 00:00:00-05:00,7.909999847412109,10.0,7.909999847412109,8.75,24300,0.0,0.0
2011-01-12 00:00:00-05:00,9.0,9.0,8.75,8.75,8700,0.0,0.0
2011-01-13 00:00:00-05:00,9.25,9.25,8.8100004196167,9.25,23400,0.0,0.0
2011-01-14 00:00:00-05:00,9.25,9.75,9.25,9.75,5600,0.0,0.0
2011-01-18 00:00:00-05:00,10.0,13.0,9.75,13.0,26000,0.0,0.0
2011-01-19 00:00:00-05:00,13.0,14.960000038146973,13.0,13.75,27500,0.0,0.0
2011-01-20 00:00:00-05:00,13.75,13.75,11.0,12.010000228881836,9100,0.0,0.0
2011-01-21 00:00:00-05:00,12.0,12.0,11.0,12.0,3600,0.0,0.0
2011-01-24 00:00:00-05:00,14.899999618530273,14.899999618530273,11.0,11.0,11800,0.0,0.0
2011-01-25 00:00:00-05:00,11.050000190734863,12.0,10.25,10.25,8100,0.0,0.0
2011-01-26 00:00:00-05:00,9.510000228881836,10.0,9.510000228881836,9.75,2300,0.0,0.0
2011-01-27 00:00:00-05:00,9.800000190734863,12.960000038146973,9.510000228881836,9.699999809265137,28400,0.0,0.0
2011-01-28 00:00:00-05:00,9.710000038146973,9.800000190734863,9.710000038146973,9.710000038146973,800,0.0,0.0
2011-01-31 00:00:00-05:00,9.699999809265137,11.0,9.5,9.5,5400,0.0,0.0
2011-02-01 00:00:00-05:00,9.510000228881836,10.600000381469727,9.510000228881836,10.600000381469727,1300,0.0,0.0
2011-02-02 00:00:00-05:00,10.600000381469727,10.649999618530273,9.5,10.25,3900,0.0,0.0
2011-02-03 00:00:00-05:00,12.0,12.0,10.010000228881836,11.5,1600,0.0,0.0
2011-02-04 00:00:00-05:00,12.0,12.0,10.010000228881836,10.010000228881836,2900,0.0,0.0
2011-02-07 00:00:00-05:00,11.489999771118164,11.989999771118164,10.5,11.510000228881836,15900,0.0,0.0
2011-02-08 00:00:00-05:00,11.5,12.0,11.5,12.0,2100,0.0,0.0
2011-02-09 00:00:00-05:00,11.5,11.510000228881836,11.0,11.0,1600,0.0,0.0
2011-02-10 00:00:00-05:00,11.529999732971191,11.529999732971191,11.5,11.5,300,0.0,0.0
2011-02-11 00:00:00-05:00,11.5,11.5,11.470000267028809,11.5,3900,0.0,0.0
2011-02-14 00:00:00-05:00,11.5,11.510000228881836,11.5,11.510000228881836,600,0.0,0.0
2011-02-15 00:00:00-05:00,11.600000381469727,12.5,11.600000381469727,12.5,3600,0.0,0.0
2011-02-16 00:00:00-05:00,12.9399995803833,13.0,12.5,13.0,6300,0.0,0.0
2011-02-17 00:00:00-05:00,12.510000228881836,17.0,12.510000228881836,17.0,4500,0.0,0.0
2011-02-18 00:00:00-05:00,16.950000762939453,16.950000762939453,14.0,14.020000457763672,2400,0.0,0.0
2011-02-22 00:00:00-05:00,16.469999313354492,17.0,14.25,17.0,32900,0.0,0.0
2011-02-23 00:00:00-05:00,17.0,17.25,16.850000381469727,17.0,19700,0.0,0.0
2011-02-24 00:00:00-05:00,17.0,19.5,17.0,17.0,6300,0.0,0.0
2011-02-25 00:00:00-05:00,17.0,19.75,17.0,17.020000457763672,4700,0.0,0.0
2011-02-28 00:00:00-05:00,17.020000457763672,19.5,17.020000457763672,19.5,700,0.0,0.0
