Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-11-08 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-09 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-12 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-13 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-14 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-15 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-16 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-19 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-20 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-21 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-23 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-26 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-27 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-28 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-29 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-11-30 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-03 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-04 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-05 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-06 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-07 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-10 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-11 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-12 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-13 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-14 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-17 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-18 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-19 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-20 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-21 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-24 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-26 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-27 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-28 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2012-12-31 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-02 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-03 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-04 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-07 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-08 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-09 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-10 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-11 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-14 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-15 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-16 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-17 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-18 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-22 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-23 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-24 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-25 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-28 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-29 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-30 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-01-31 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-02-01 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-02-04 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-02-05 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-02-06 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
2013-02-07 00:00:00-05:00,34.5,34.5,34.5,34.5,0,0.0,0.0
