Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2019-06-05 00:00:00-04:00,9.3826265335083,9.3826265335083,9.3826265335083,9.3826265335083,0,0.0,0.0,0.0
2019-06-06 00:00:00-04:00,9.37324333190918,9.37324333190918,9.37324333190918,9.37324333190918,0,0.0,0.0,0.0
2019-06-07 00:00:00-04:00,9.37324333190918,9.37324333190918,9.37324333190918,9.37324333190918,0,0.0,0.0,0.0
2019-06-10 00:00:00-04:00,9.37324333190918,9.37324333190918,9.37324333190918,9.37324333190918,0,0.0,0.0,0.0
2019-06-11 00:00:00-04:00,9.37324333190918,9.37324333190918,9.37324333190918,9.37324333190918,0,0.0,0.0,0.0
2019-06-12 00:00:00-04:00,9.37324333190918,9.37324333190918,9.37324333190918,9.37324333190918,0,0.0,0.0,0.0
2019-06-13 00:00:00-04:00,9.3826265335083,9.3826265335083,9.3826265335083,9.3826265335083,0,0.0,0.0,0.0
2019-06-14 00:00:00-04:00,9.3826265335083,9.3826265335083,9.3826265335083,9.3826265335083,0,0.0,0.0,0.0
2019-06-17 00:00:00-04:00,9.3826265335083,9.3826265335083,9.3826265335083,9.3826265335083,0,0.0,0.0,0.0
2019-06-18 00:00:00-04:00,9.3826265335083,9.3826265335083,9.3826265335083,9.3826265335083,0,0.0,0.0,0.0
2019-06-19 00:00:00-04:00,9.3826265335083,9.3826265335083,9.3826265335083,9.3826265335083,0,0.0,0.0,0.0
2019-06-20 00:00:00-04:00,9.3826265335083,9.3826265335083,9.3826265335083,9.3826265335083,0,0.0,0.0,0.0
2019-06-21 00:00:00-04:00,9.3826265335083,9.3826265335083,9.3826265335083,9.3826265335083,0,0.0,0.0,0.0
2019-06-24 00:00:00-04:00,9.392008781433105,9.392008781433105,9.392008781433105,9.392008781433105,0,0.0,0.0,0.0
2019-06-25 00:00:00-04:00,9.392008781433105,9.392008781433105,9.392008781433105,9.392008781433105,0,0.0,0.0,0.0
2019-06-26 00:00:00-04:00,9.392008781433105,9.392008781433105,9.392008781433105,9.392008781433105,0,0.0,0.0,0.0
2019-06-27 00:00:00-04:00,9.392008781433105,9.392008781433105,9.392008781433105,9.392008781433105,0,0.0,0.0,0.0
2019-06-28 00:00:00-04:00,9.392008781433105,9.392008781433105,9.392008781433105,9.392008781433105,0,0.0,0.0,0.0
2019-07-01 00:00:00-04:00,9.392008781433105,9.392008781433105,9.392008781433105,9.392008781433105,0,0.0,0.0,0.0
2019-07-02 00:00:00-04:00,9.392008781433105,9.392008781433105,9.392008781433105,9.392008781433105,0,0.0,0.0,0.0
2019-07-03 00:00:00-04:00,9.410773277282715,9.410773277282715,9.410773277282715,9.410773277282715,0,0.0,0.0,0.0
2019-07-05 00:00:00-04:00,9.410773277282715,9.410773277282715,9.410773277282715,9.410773277282715,0,0.0,0.0,0.0
2019-07-08 00:00:00-04:00,9.410773277282715,9.410773277282715,9.410773277282715,9.410773277282715,0,0.0,0.0,0.0
2019-07-09 00:00:00-04:00,9.410773277282715,9.410773277282715,9.410773277282715,9.410773277282715,0,0.0,0.0,0.0
2019-07-10 00:00:00-04:00,9.410773277282715,9.410773277282715,9.410773277282715,9.410773277282715,0,0.0,0.0,0.0
2019-07-11 00:00:00-04:00,9.420156478881836,9.420156478881836,9.420156478881836,9.420156478881836,0,0.0,0.0,0.0
2019-07-12 00:00:00-04:00,9.420156478881836,9.420156478881836,9.420156478881836,9.420156478881836,0,0.0,0.0,0.0
2019-07-15 00:00:00-04:00,9.420156478881836,9.420156478881836,9.420156478881836,9.420156478881836,0,0.0,0.0,0.0
2019-07-16 00:00:00-04:00,9.420156478881836,9.420156478881836,9.420156478881836,9.420156478881836,0,0.0,0.0,0.0
2019-07-17 00:00:00-04:00,9.420156478881836,9.420156478881836,9.420156478881836,9.420156478881836,0,0.0,0.0,0.0
2019-07-18 00:00:00-04:00,9.420156478881836,9.420156478881836,9.420156478881836,9.420156478881836,0,0.0,0.0,0.0
2019-07-19 00:00:00-04:00,9.420156478881836,9.420156478881836,9.420156478881836,9.420156478881836,0,0.0,0.0,0.0
2019-07-22 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-07-23 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-07-24 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-07-25 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-07-26 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-07-29 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-07-30 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-07-31 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-08-01 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-08-02 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-05 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-06 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-07 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-08 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-09 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-12 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-13 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-14 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-15 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-08-16 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-08-19 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-08-20 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-08-21 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-08-22 00:00:00-04:00,9.429540634155273,9.429540634155273,9.429540634155273,9.429540634155273,0,0.0,0.0,0.0
2019-08-23 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-26 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-27 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-28 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-29 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-08-30 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-09-03 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-09-04 00:00:00-04:00,9.438921928405762,9.438921928405762,9.438921928405762,9.438921928405762,0,0.0,0.0,0.0
2019-09-05 00:00:00-04:00,9.448304176330566,9.448304176330566,9.448304176330566,9.448304176330566,0,0.0,0.0,0.0
2019-09-06 00:00:00-04:00,9.448304176330566,9.448304176330566,9.448304176330566,9.448304176330566,0,0.0,0.0,0.0
2019-09-09 00:00:00-04:00,9.448304176330566,9.448304176330566,9.448304176330566,9.448304176330566,0,0.0,0.0,0.0
2019-09-10 00:00:00-04:00,9.448304176330566,9.448304176330566,9.448304176330566,9.448304176330566,0,0.0,0.0,0.0
2019-09-11 00:00:00-04:00,9.448304176330566,9.448304176330566,9.448304176330566,9.448304176330566,0,0.0,0.0,0.0
2019-09-12 00:00:00-04:00,9.457686424255371,9.457686424255371,9.457686424255371,9.457686424255371,0,0.0,0.0,0.0
2019-09-13 00:00:00-04:00,9.457686424255371,9.457686424255371,9.457686424255371,9.457686424255371,0,0.0,0.0,0.0
2019-09-16 00:00:00-04:00,9.467069625854492,9.467069625854492,9.467069625854492,9.467069625854492,0,0.0,0.0,0.0
2019-09-17 00:00:00-04:00,9.467069625854492,9.467069625854492,9.467069625854492,9.467069625854492,0,0.0,0.0,0.0
2019-09-18 00:00:00-04:00,9.467069625854492,9.467069625854492,9.467069625854492,9.467069625854492,0,0.0,0.0,0.0
